battle_level,warrior_hp,warrior_damage,archer_hp,archer_damage,healer_hp,healing_per_tick,boss_hp,boss_damage,monster_coins,boss_coins,hammer_drop_chance,hammer_min,hammer_max,batch_size
46,172830,5341,86415,3472,86415,10803,501207,12551,18,170,0.2,14,24,10
47,185911,5659,92956,3678,92956,11620,539142,13299,18,175,0.2,14,24,10
48,199983,5996,99992,3897,99992,12499,579951,14091,18,179,0.2,14,24,10
49,215120,6353,107560,4129,107560,13445,623848,14930,19,183,0.2,14,24,10
50,231402,6731,115701,4375,115701,14463,671066,15818,19,188,0.2,14,24,10
51,248917,7131,124458,4635,124458,15558,721859,16758,20,193,0.2,16,28,12
52,267758,7556,133879,4911,133879,16735,776498,17757,20,197,0.2,16,28,12
53,288025,8006,144012,5204,144012,18001,835272,18814,21,202,0.2,16,28,12
54,309825,8482,154912,5513,154912,19364,898492,19933,22,207,0.2,16,28,12
55,333276,8987,166638,5842,166638,20830,966500,21119,22,213,0.2,16,28,12
56,358502,9522,179251,6189,179251,22406,1039656,22377,22,218,0.2,16,28,12
57,385637,10089,192818,6558,192818,24103,1118347,23709,23,223,0.2,16,28,12
58,414827,10690,207414,6948,207414,25926,1202998,25122,23,229,0.2,16,28,12
59,446225,11326,223112,7362,223112,27889,1294052,26616,24,235,0.2,16,28,12
60,480000,12000,240000,7800,240000,30000,1392000,28200,25,241,0.2,16,28,12
61,1800000,40000,900000,26000,900000,112500,5220000,94000,26,247,0.2,18,32,14
62,1936243,42381,968122,27548,968122,121015,5615105,99595,26,253,0.2,18,32,14
63,2082798,44904,1041399,29188,1041399,130175,6040114,105524,26,259,0.2,18,32,14
64,2240447,47577,1120224,30925,1120224,140028,6497296,111806,27,266,0.2,18,32,14
65,2410027,50409,1205014,32766,1205014,150626,6989078,118461,28,272,0.2,18,32,14
66,2592444,53409,1296222,34716,1296222,162028,7518088,125511,29,279,0.2,18,32,14
67,2788667,56589,1394334,36783,1394334,174291,8087134,132984,30,286,0.2,18,32,14
68,2999743,59957,1499872,38972,1499872,187484,8699255,140899,30,293,0.2,18,32,14
69,3226796,63526,1613398,41292,1613398,201675,9357708,149286,31,300,0.2,18,32,14
70,3471034,67308,1735517,43750,1735517,216940,10065999,158174,32,308,0.2,18,32,14
71,3733758,71314,1866879,46354,1866879,233360,10827898,167588,33,316,0.2,21,36,16
72,4016369,75559,2008184,49113,2008184,251023,11647470,177564,34,324,0.2,21,36,16
73,4320370,80057,2160185,52037,2160185,270023,12529073,188134,34,332,0.2,21,36,16
74,4647381,84823,2323690,55135,2323690,290461,13477405,199334,35,340,0.2,21,36,16
75,4999144,89872,2499572,58417,2499572,312446,14497518,211199,36,348,0.2,21,36,16
76,5377532,95221,2688766,61894,2688766,336096,15594843,223769,37,357,0.2,21,36,16
77,5784561,100890,2892280,65578,2892280,361535,16775227,237092,38,366,0.2,21,36,16
78,6222398,106895,3111199,69482,3111199,388900,18044954,251203,38,375,0.2,21,36,16
79,6693375,113258,3346688,73618,3346688,418336,19410788,266156,39,385,0.2,21,36,16
80,7200000,120000,3600000,78000,3600000,450000,20880000,282000,41,394,0.2,21,36,16
81,27000000,400000,13500000,260000,13500000,1687500,78300000,940000,42,404,0.2,23,40,18
82,29043646,423810,14521823,275476,14521823,1815228,84226573,995954,42,414,0.2,23,40,18
83,31241976,449038,15620988,291875,15620988,1952624,90601730,1055239,44,425,0.2,23,40,18
84,33606700,475768,16803350,309249,16803350,2100419,97459430,1118055,45,435,0.2,23,40,18
85,36150411,504088,18075206,327657,18075206,2259401,104836192,1184607,46,446,0.2,23,40,18
86,38886657,534095,19443328,347162,19443328,2430416,112771305,1255123,47,457,0.2,23,40,18
87,41830010,565887,20915005,367827,20915005,2614375,121307029,1329834,48,469,0.2,23,40,18
88,44996148,599572,22498074,389722,22498074,2812259,130488829,1408994,50,480,0.2,23,40,18
89,48401933,635262,24200966,412920,24200966,3025121,140365606,1492866,50,492,0.2,23,40,18
90,52065504,673077,26032752,437500,26032752,3254094,150989962,1581731,52,505,0.2,23,40,18
91,56006372,713143,28003186,463543,28003186,3500399,162418479,1675886,54,517,0.2,26,44,20
92,60245528,755593,30122764,491135,30122764,3765345,174712031,1775644,54,530,0.2,26,44,20
93,64805547,800571,32402774,520371,32402774,4050346,187936086,1881342,56,543,0.2,26,44,20
94,69710717,848226,34855358,551347,34855358,4356920,202161079,1993331,58,557,0.2,26,44,20
95,74987162,898717,37493581,584166,37493581,4686698,217462770,2111985,58,571,0.2,26,44,20
96,80662984,952214,40331492,618939,40331492,5041436,233922654,2237703,60,585,0.2,26,44,20
97,86768412,1008896,43384206,655782,43384206,5423026,251628395,2370906,62,600,0.2,26,44,20
98,93335964,1068951,46667982,694818,46667982,5833498,270674296,2512035,63,615,0.2,26,44,20
99,100400618,1132582,50200309,736178,50200309,6275039,291161792,2661568,65,630,0.2,26,44,20
100,108000000,1200000,54000000,780000,54000000,6750000,313200000,2820000,66,646,0.2,26,44,20
101,405000000,4000000,202500000,2600000,202500000,25312500,1174500000,9400000,68,662,0.2,28,48,22
102,435654687,4238104,217827344,2754768,217827344,27228418,1263398592,9959544,70,679,0.2,28,48,22
103,468629646,4490382,234314823,2918748,234314823,29289353,1359025973,10552398,71,696,0.2,28,48,22
104,504100499,4757677,252050250,3092490,252050250,31506281,1461891447,11180541,74,713,0.2,28,48,22
105,542256161,5040882,271128080,3276573,271128080,33891010,1572542867,11846073,75,731,0.2,28,48,22
106,583299848,5340946,291649924,3471615,291649924,36456240,1691569559,12551223,77,749,0.2,28,48,22
107,627450155,5658872,313725078,3678267,313725078,39215635,1819605450,13298349,79,768,0.2,28,48,22
108,674942225,5995722,337471112,3897219,337471112,42183889,1957332452,14089947,81,787,0.2,28,48,22
109,726028998,6352624,363014499,4129206,363014499,45376813,2105484094,14928666,83,807,0.2,28,48,22
110,780982558,6730771,390491279,4375001,390491279,48811410,2264849418,15817312,85,827,0.2,28,48,22
111,840095586,7131427,420047793,4635428,420047793,52505974,2436277199,16758853,87,848,0.2,30,52,24
112,903682913,7555933,451841456,4911356,451841456,56480183,2620680448,17756443,90,869,0.2,30,52,24
113,972083203,8005708,486041602,5203710,486041602,60755200,2819041289,18813414,91,891,0.2,30,52,24
114,1045660750,8482256,522830375,5513466,522830375,65353798,3032416175,19933302,94,913,0.2,30,52,24
115,1124807426,8987171,562403713,5841661,562403713,70300464,3261941535,21119852,96,936,0.2,30,52,24
116,1209944759,9522142,604972380,6189392,604972380,75621548,3508839801,22377034,98,959,0.2,30,52,24
117,1301526187,10088958,650763094,6557823,650763094,81345386,3774425942,23709051,101,983,0.2,30,52,24
118,1400039467,10689514,700019734,6948184,700019734,87502466,4060114454,25120358,104,1008,0.2,30,52,24
119,1506009275,11325819,753004638,7361782,753004638,94125580,4367426898,26615675,106,1033,0.2,30,52,24
120,1620000000,12000000,810000000,7800000,810000000,101250000,4698000000,28200000,109,1059,0.2,30,52,24
121,6075000000,40000000,3037500000,26000000,3037500000,379687500,17617500000,94000000,112,1085,0.2,33,56,26
122,6534820311,42381043,3267410156,27547678,3267410156,408426270,18950978902,99595451,114,1112,0.2,33,56,26
123,7029444691,44903819,3514722346,29187482,3514722346,439340294,20385389604,105523975,118,1140,0.2,33,56,26
124,7561507481,47576767,3780753740,30924899,3780753740,472594218,21928371695,111805402,120,1168,0.2,33,56,26
125,8133842415,50408825,4066921208,32765736,4066921208,508365151,23588143004,118460739,123,1198,0.2,33,56,26
126,8749497716,53409464,4374748858,34716152,4374748858,546843608,25373543376,125512240,126,1228,0.2,33,56,26
127,9411752327,56588719,4705876164,36782667,4705876164,588234520,27294081748,132983490,130,1258,0.2,33,56,26
128,10124133378,59957223,5062066689,38972195,5062066689,632758336,29359986796,140899474,133,1290,0.2,33,56,26
129,10890434968,63526240,5445217484,41292056,5445217484,680652185,31582261407,149286664,136,1322,0.2,33,56,26
130,11714738375,67307707,5857369188,43750010,5857369188,732171149,33972741288,158173111,139,1355,0.2,33,56,26
131,12601433790,71314270,6300716895,46354276,6300716895,787589613,36544157991,167588534,143,1389,0.2,35,60,28
132,13555243701,75559328,6777621850,49113563,6777621850,847202731,39310206733,177564421,146,1424,0.2,35,60,28
133,14581248043,80057077,7290624022,52037100,7290624022,911328003,42285619325,188134131,150,1459,0.2,35,60,28
134,15684911255,84822560,7842455628,55134664,7842455628,980306954,45486242640,199333016,154,1496,0.2,35,60,28
135,16872111383,89871713,8436055692,58416613,8436055692,1054506961,48929123011,211198526,158,1533,0.2,35,60,28
136,18149171384,95221423,9074585692,61893925,9074585692,1134323211,52632597014,223770344,162,1571,0.2,35,60,28
137,19522892806,100889579,9761446403,65578226,9761446403,1220180800,56616389137,237090511,166,1611,0.2,35,60,28
138,21000592007,106895139,10500296004,69481840,10500296004,1312537000,60901716820,251203577,170,1651,0.2,35,60,28
139,22590139127,113258186,11295069564,73617821,11295069564,1411883695,65511403468,266156737,174,1692,0.2,35,60,28
140,24300000000,120000000,12150000000,78000000,12150000000,1518750000,70470000000,282000000,178,1735,0.2,35,60,28
141,91125000000,400000000,45562500000,260000000,45562500000,5695312500,264262500000,940000000,183,1778,0.2,38,64,30
142,98022304669,423810426,49011152334,275476777,49011152334,6126394041,284264683540,995954501,187,1822,0.2,38,64,30
143,105441670372,449038193,52720835186,291874825,52720835186,6590104399,305780844079,1055239754,192,1868,0.2,38,64,30
144,113422612215,475767669,56711306108,309248985,56711306108,7088913264,328925575424,1118054022,197,1915,0.2,38,64,30
145,122007636224,504088246,61003818112,327657360,61003818112,7625477264,353822145050,1184607378,202,1963,0.2,38,64,30
146,131242465733,534094636,65621232866,347161513,65621232866,8202654109,380603150626,1255122395,207,2012,0.2,38,64,30
147,141176284902,565887188,70588142451,367826672,70588142451,8823517806,409411226216,1329834892,212,2062,0.2,38,64,30
148,151862000666,599572225,75931000333,389721946,75931000333,9491375041,440399801931,1408994729,218,2113,0.2,38,64,30
149,163356524521,635262400,81678262260,412920560,81678262260,10209782783,473733921111,1492866640,223,2166,0.2,38,64,30
150,175721075625,673077071,87860537812,437500096,87860537812,10982567226,509591119312,1581731117,228,2220,0.2,38,64,30
151,189021506850,713142700,94510753425,463542755,94510753425,11813844178,548162369865,1675885345,234,2276,0.2,40,68,32
152,203328655512,755593279,101664327756,491135631,101664327756,12708040970,589653100985,1775644206,240,2333,0.2,40,68,32
153,218718720643,800570773,109359360322,520371002,109359360322,13669920040,634284289865,1881341317,246,2391,0.2,40,68,32
154,235273668826,848225601,117636834413,551346641,117636834413,14704604301,682293639595,1993330162,252,2451,0.2,40,68,32
155,253081670742,898717133,126540835371,584166136,126540835371,15817604421,733936845152,2111985263,258,2512,0.2,40,68,32
156,272237570762,952214227,136118785381,618939248,136118785381,17014848173,789488955210,2237703433,265,2575,0.2,40,68,32
157,292843392084,1008895793,146421696042,655782265,146421696042,18302712005,849245837044,2370905114,271,2639,0.2,40,68,32
158,315008880101,1068951389,157504440050,694818403,157504440050,19688055006,913525752293,2512035764,278,2705,0.2,40,68,32
159,338852086901,1132581859,169426043450,736178208,169426043450,21178255431,982671052013,2661567369,286,2773,0.2,40,68,32
160,364500000000,1200000000,182250000000,780000000,182250000000,22781250000,1057050000000,2820000000,292,2842,0.2,40,68,32
161,1366875000000,4000000000,683437500000,2600000000,683437500000,85429687500,3963937500000,9400000000,300,2913,0.2,42,72,34
162,1470334570040,4238104259,735167285020,2754767768,735167285020,91895910628,4263970253116,9959545009,307,2986,0.2,42,72,34
163,1581625055586,4490381927,790812527793,2918748253,790812527793,98851565974,4586712661199,10552397528,315,3061,0.2,42,72,34
164,1701339183224,4757676693,850669591612,3092489850,850669591612,106333698951,4933883631350,11180540229,322,3137,0.2,42,72,34
165,1830114543361,5040882464,915057271680,3276573602,915057271680,114382158960,5307332175747,11846073790,330,3216,0.2,42,72,34
166,1968636985998,5340946359,984318492999,3471615133,984318492999,123039811625,5709047259394,12551223944,339,3296,0.2,42,72,34
167,2117644273523,5658871878,1058822136762,3678266721,1058822136762,132352767095,6141168393217,13298348913,347,3379,0.2,42,72,34
168,2277930009992,5995722252,1138965004996,3897219464,1138965004996,142370625625,6605997028977,14089947292,356,3463,0.2,42,72,34
169,2450347867817,6352624003,1225173933908,4129205602,1225173933908,153146741739,7106008816669,14928666407,365,3550,0.2,42,72,34
170,2635816134375,6730770711,1317908067188,4375000962,1317908067188,164738508399,7643866789688,15817311171,374,3638,0.2,42,72,34
171,2835322602755,7131427004,1417661301378,4635427553,1417661301378,177207662673,8222435547990,16758853459,383,3729,0.2,45,76,36
172,3049929832681,7555932789,1524964916340,4911356313,1524964916340,190620614543,8844796514775,17756442054,393,3823,0.2,45,76,36
173,3280780809647,8005707733,1640390404824,5203710026,1640390404824,205048800603,9514264347976,18813413173,403,3918,0.2,45,76,36
174,3529105032389,8482256010,1764552516194,5513466406,1764552516194,220569064524,10234404593928,19933301624,413,4016,0.2,45,76,36
175,3796225061123,8987171331,1898112530562,5841661365,1898112530562,237264066320,11009052677257,21119852628,423,4117,0.2,45,76,36
176,4083563561423,9522142273,2041781780712,6189392477,2041781780712,255222722589,11842334328127,22377034342,434,4219,0.2,45,76,36
177,4392650881254,10088957930,2196325440627,6557822654,2196325440627,274540680079,12738687555637,23709051136,445,4325,0.2,45,76,36
178,4725133201517,10689513893,2362566600758,6948184030,2362566600758,295320825095,13702886284399,25120357649,456,4433,0.2,45,76,36
179,5082781303508,11325818589,2541390651754,7361782083,2541390651754,317673831469,14740065780173,26615673684,467,4544,0.2,45,76,36
180,5467500000000,12000000000,2733750000000,7800000000,2733750000000,341718750000,15855750000000,28200000000,479,4658,0.2,45,76,36
181,20503125000000,40000000000,10251562500000,26000000000,10251562500000,1281445312500,59459062500000,94000000000,491,4774,0.2,47,80,38
182,22055018550596,42381042590,11027509275298,27547677684,11027509275298,1378438659413,63959553796728,99595450086,503,4893,0.2,47,80,38
183,23724375833787,44903819274,11862187916894,29187482528,11862187916894,1482773489611,68800689917982,105523975294,516,5016,0.2,47,80,38
184,25520087748355,47576766928,12760043874178,30924898503,12760043874178,1595005484273,74008254470230,111805402281,529,5141,0.2,47,80,38
185,27451718150418,50408824636,13725859075209,32765736013,13725859075209,1715732384401,79609982636212,118460737895,542,5270,0.2,47,80,38
186,29529554789974,53409463594,14764777394987,34716151336,14764777394987,1845597174374,85635708890925,125512239446,555,5401,0.2,47,80,38
187,31764664102849,56588718782,15882332051424,36782667208,15882332051424,1985291506428,92117525898262,132983489138,570,5536,0.2,47,80,38
188,34168950149880,59957222520,17084475074940,38972194638,17084475074940,2135559384368,99089955434652,140899472922,584,5675,0.2,47,80,38
189,36755218017253,63526240029,18377609008626,41292056019,18377609008626,2297201126079,106590132250034,149286664068,598,5817,0.2,47,80,38
190,39537242015629,67307707105,19768621007814,43750009618,19768621007814,2471077625976,114658001845324,158173111697,614,5962,0.2,47,80,38
191,42529839041322,71314270036,21264919520661,46354275523,21264919520661,2658114940083,123336533219834,167588534585,629,6111,0.2,50,84,40
192,45748947490209,75559327891,22874473745104,49113563129,22874473745104,2859309218138,132671947721606,177564420544,644,6264,0.2,50,84,40
193,49211712144700,80057077334,24605856072350,52037100267,24605856072350,3075732009044,142713965219630,188134131735,660,6420,0.2,50,84,40
194,52936575485831,84822560103,26468287742916,55134664067,26468287742916,3308535967865,153516068908910,199333016242,677,6581,0.2,50,84,40
195,56943375916842,89871713306,28471687958421,58416613649,28471687958421,3558960994803,165135790158842,211198526269,694,6745,0.2,50,84,40
196,61253453421344,95221422731,30626726710672,61893924775,30626726710672,3828340838834,177635014921898,223770343418,711,6914,0.2,50,84,40
197,65889763218816,100889579305,32944881609408,65578226548,32944881609408,4118110201176,191080313334566,237090511367,729,7087,0.2,50,84,40
198,70876998022758,106895138934,35438499011379,69481840307,35438499011379,4429812376423,205543294265998,251203576495,747,7264,0.2,50,84,40
199,76241719552627,113258185894,38120859776314,73617820831,38120859776314,4765107472039,221100986702618,266156736851,766,7446,0.2,50,84,40
200,82012500000000,120000000000,41006250000000,78000000000,41006250000000,5125781250000,237836250000000,282000000000,785,7632,0.2,50,84,40
